Compound Name,Number of H-bond donors,Number of H-bond acceptors,Molecular Weight,LogP,Meets
,0,3,416.135,6.4548,FALSE
,0,2,205.277,1.7385,TRUE
,1,3,461.556,5.857,FALSE
,2,4,295.298,2.9722,TRUE
,0,4,327.815,3.7714,TRUE
,1,4,357.494,3.3429,TRUE
,1,6,388.464,2.5828,TRUE
,1,4,315.716,3.0377,TRUE
,2,3,224.26,0.961,TRUE
,2,4,516.857,9.9083,FALSE
,1,1,277.411,4.2114,TRUE
,4,6,225.224,-1.3878,TRUE
,1,5,454.966,3.8893,TRUE
,1,3,337.463,4.221,TRUE
,0,3,241.266,2.3323,TRUE
,2,6,294.336,0.6462,TRUE
,1,7,521.05,4.0868,FALSE
,0,1,184.491,2.3528,TRUE
,2,5,182.187,-1.6657,TRUE
,1,4,357.494,3.3429,TRUE
,0,3,229.255,1.7018,TRUE
,1,3,233.699,2.2509,TRUE
,1,2,214.051,3.2472,TRUE
,0,3,241.266,2.3323,TRUE
,0,2,344.845,5.3767,FALSE
,0,1,184.491,2.3528,TRUE
,0,4,256.281,0.85692,TRUE
_c001,8,11,342.297,-5.3956,FALSE
,1,3,477.048,5.088,FALSE
,0,2,352.743,4.0863,TRUE
,0,4,423.536,3.67008,TRUE
,3,6,445.545,2.07812,TRUE
,14,16,1084.253,-5.4045,FALSE
,2,3,321.163,3.1013,TRUE
,2,5,351.463,1.9164,TRUE
_c001,4,4,301.386,2.9568,TRUE
,0,1,275.395,4.5538,TRUE
,1,7,201.995,-3.5202,TRUE
,1,3,212.656,0.5223,TRUE
,2,4,299.802,2.0024,TRUE
,2,4,376.468,2.7808,TRUE
,2,3,327.468,3.3656,TRUE
,2,4,267.369,1.6132,TRUE
,2,4,194.21,-0.598,TRUE
,1,5,303.358,0.9181,TRUE
,0,4,343.217,4.23352,TRUE
_c001,0,3,355.41,3.0308,TRUE
,3,4,252.347,0.5974,TRUE
_c001,3,6,654.606,3.1928,FALSE
,2,4,267.369,1.6132,TRUE
,4,5,309.406,0.6348,TRUE
,0,2,371.524,5.9961,FALSE
,3,5,279.34,1.8118,TRUE
_c001,3,5,367.506,2.0983,TRUE
,1,3,295.145,3.40892,TRUE
,2,8,316.427,0.5025,TRUE
,1,4,313.788,3.4292,TRUE
,3,5,357.45,1.7073,TRUE
_c001,3,3,416.646,5.7047,FALSE
,2,3,213.281,0.3356,TRUE
,4,5,309.406,0.6348,TRUE
,0,7,261.213,-0.4914,TRUE
,3,5,279.34,1.8118,TRUE
,0,2,143.206,0.9527,TRUE
,2,3,213.281,0.3356,TRUE
,1,7,502.579,3.5238,FALSE
,2,6,331.353,1.7376,TRUE
,2,6,434.504,2.2747,TRUE
,3,6,209.253,0.17237,TRUE
,1,3,300.745,2.4722,TRUE
,2,4,265.353,1.9891,TRUE
,5,5,230.639,-2.902,TRUE
,2,3,232.283,1.3532,TRUE
,0,6,371.872,2.3617,TRUE
,2,6,363.415,1.7018,TRUE
,0,4,244.294,2.6691,TRUE
,2,6,351.443,2.8424,TRUE
,3,4,266.341,0.4521,TRUE
,2,2,192.262,1.58914,TRUE
,0,4,308.772,3.58012,TRUE
,3,3,248.326,1.9056,TRUE
,3,6,296.201,-0.8039,TRUE
,1,4,216.282,-0.7068,TRUE
,0,6,454.611,5.09308,FALSE
,2,5,467.65,4.4138,TRUE
,0,3,249.33,2.23854,TRUE
,1,3,249.192,1.7009,TRUE
,2,3,260.381,2.85074,TRUE
,1,7,346.339,2.1756,TRUE
,2,5,353.479,2.1404,TRUE
,0,6,454.611,5.09308,FALSE
,2,4,391.572,3.1432,TRUE
,2,4,365.842,2.0834,TRUE
,0,9,227.085,-1.0201,TRUE
,0,7,531.44,4.2058,FALSE
,2,4,365.842,2.0834,TRUE
,1,2,272.711,2.8279,TRUE
,1,3,276.214,3.2081,TRUE
,4,4,287.359,2.352,TRUE
,2,7,310.335,0.8768,TRUE
,3,1,232.094,-0.0093,TRUE
,0,6,414.527,3.3685,TRUE
,1,2,239.746,3.2993,TRUE
,3,7,225.208,-1.3318,TRUE
,0,4,387.719,5.8629,FALSE
,0,7,278.312,0.193,TRUE
,1,2,239.746,3.2993,TRUE
,0,3,325.774,4.32422,TRUE
,0,2,299.434,4.2679,TRUE
,1,2,312.453,3.8826,TRUE
,2,4,327.123,3.8595,TRUE
,1,3,372.549,6.264,FALSE
,0,4,387.719,5.8629,FALSE
,4,4,328.412,2.1354,TRUE
,0,2,312.413,2.5349,TRUE
,2,7,314.411,1.459,TRUE
,0,2,386.801,5.0262,FALSE
,0,2,312.413,2.5349,TRUE
,2,4,329.44,3.46688,TRUE
_c001,1,2,246.354,1.7714,TRUE
,0,6,385.512,2.0882,TRUE
,0,3,397.758,6.518,FALSE
,1,3,265.36,2.6949,TRUE
,1,2,210.28,2.384,TRUE
,1,3,207.273,2.44172,TRUE
,2,2,75.067,-0.4883,TRUE
,0,3,381.69,5.8014,FALSE
,0,3,253.277,1.771,TRUE
,0,2,243.257,2.3461,TRUE
,3,13,588.562,1.3386,FALSE
,0,5,557.84,5.9659,FALSE
,2,4,414.346,3.4407,TRUE
,0,4,292.314,2.6911,TRUE
,4,8,244.207,-3.0115,TRUE
,1,8,418.446,2.9708,TRUE
,1,2,179.263,2.02944,TRUE
,3,5,336.432,2.3655,TRUE
,1,3,286.351,2.0483,TRUE
,2,5,341.407,1.5254,TRUE
,1,2,309.331,4.435,TRUE
,1,3,161.201,-1.8065,TRUE
,0,4,645.319,6.9362,FALSE
,1,6,375.445,0.2699,TRUE
,0,3,366.549,4.8302,TRUE
_c001,16,13,1210.429,-3.0481,FALSE
,2,1,246.097,1.3359,TRUE
,1,4,285.343,1.6303,TRUE
,1,8,387.44,1.0568,TRUE
,0,4,294.745,3.2717,TRUE
,2,2,245.366,3.1136,TRUE
,1,3,332.464,2.8541,TRUE
,2,4,341.451,3.2414,TRUE
,0,2,160.237,0.6442,TRUE
,4,4,146.238,-1.917,TRUE
